"Metro Area",Year,"OneD Index","Economic Prosperity Index","Educational Preparedness Index","Social Equity Index","Quality of Life Index","Regional Transit Index"
"Albany-Schenectady-Amsterdam, NY",2009,2.46,1.43,3.22,2.88,2.64,2.15
"Atlanta-Sandy Springs-Gainesville, GA-AL",2009,2.15,1.51,2.51,2.78,2.56,1.42
"Austin-Round Rock-Marble Falls, TX",2009,2.52,2.15,2.65,2.69,3.47,1.62
"Birmingham-Hoover-Cullman, AL",2009,1.76,1.31,1.84,1.95,2.14,1.57
"Boston-Worcester-Manchester, MA-RI-NH",2009,2.58,2.16,3.47,2.14,3.2,1.91
"Buffalo-Niagara-Cattaraugus, NY",2009,2.15,1.13,3.12,1.82,2.56,2.09
"Charlotte-Gastonia-Salisbury, NC-SC",2009,2.19,1.63,2.51,2.31,2.93,1.58
"Chicago-Naperville-Michigan City, IL-IN-WI",2009,1.94,1.7,2.79,2.45,0.97,1.8
"Cincinnati-Middletown-Wilmington, OH-KY-IN",2009,2,1.31,2.19,2.37,2.43,1.71
"Cleveland-Akron-Elyria, OH",2009,1.79,1.11,2.02,1.94,2.13,1.76
"Columbus-Marion-Chillicothe, OH",2009,2.2,1.17,2.53,2.38,3.26,1.66
"Dallas-Fort Worth, TX",2009,2.24,1.96,2.27,2.43,3.03,1.49
"Dayton-Springfield-Greenville, OH",2009,1.83,0.85,1.83,2.47,2.15,1.83
"Denver-Aurora-Boulder, CO",2009,2.34,1.84,2.01,2.54,3.58,1.72
"Detroit-Warren-Flint, MI",2009,1.68,1.18,1.92,2.3,1.39,1.6
"Fresno-Madera, CA",2009,1.58,0.74,1.53,2.02,1.47,2.16
"Grand Rapids-Muskegon-Holland, MI",2009,2.05,0.83,2.33,2.69,2.46,1.93
"Greensboro-Winston-Salem-High Point, NC",2009,1.79,1.03,1.85,1.98,2.22,1.84
"Greenville-Spartanburg-Anderson, SC",2009,1.62,1.28,1.74,2.01,1.79,1.26
"Hartford-West Hartford-Willimantic, CT",2009,2.7,1.9,3.38,2.8,3.56,1.84
"Houston-Baytown-Huntsville, TX",2009,2.22,2.86,2.23,2.1,2.53,1.39
"Indianapolis-Anderson-Columbus, IN",2009,1.98,1.7,1.99,2.42,2.27,1.52
"Jacksonville, FL",2009,2.19,1.71,1.91,2.88,2.68,1.74
"Kansas City-Overland Park-Kansas City, MO-KS",2009,2.3,1.6,2.47,2.93,2.62,1.91
"Knoxville-Sevierville-La Follette, TN",2009,1.76,1.44,2.26,1.73,1.74,1.61
"Las Vegas-Paradise-Pahrump, NV",2009,2.17,2.49,1.31,3.43,2.23,1.37
"Los Angeles-Long Beach-Riverside, CA",2009,1.93,1.77,2.07,2,2,1.79
"Louisville-Jefferson County-Elizabethtown-Scottsburg, KY-IN",2009,1.9,1.37,1.85,2.24,2.37,1.66
"Memphis, TN-MS-AR",2009,1.63,1.49,1.94,1.65,1.54,1.51
"Miami-Fort Lauderdale-Pompano Beach, FL",2009,1.92,1.98,1.77,1.97,2.33,1.54
"Milwaukee-Racine-Waukesha, WI",2009,2.32,1.34,2.71,2.44,3.2,1.92
"Minneapolis-St. Paul-St. Cloud, MN-WI",2009,2.69,1.94,3.18,3.03,3.33,1.97
