"id","geoid","metro","region","lat","lon","year","oned_index","economy_index","education_index","equity_index","quality_of_life_index","transit_index","econ_exports","econ_gmp","econ_hightech","econ_kiemploy","econ_mhhinc","econ_pcpi","econ_pop2534","econ_povrt","econ_techpatents","econ_biztaxindex","econ_rdsharegdp","econ_vcpc","edu_pctbachhigher2534","edu_pctbachhigher","edu_ppstatebudget","edu_ppspending","edu_enrolled","edu_hsdiploma","edu_naep4math","edu_naep4read","edu_naep4sci","edu_naep8math","edu_naep8read","edu_naep8sci","edu_unemployednohs","equity_fbpop","equity_gini","equity_incshareq1","equity_incshareq2","equity_incshareq3","equity_incshareq4","equity_incshareq5","equity_incsharetop5","equity_medhhincblack","equity_medhhinchisp","equity_medhhincwhite","equity_medhhinctotal","equity_childpovrtblack","equity_childpovrthisp","equity_childpovrtwhite","equity_childpovrttotal","equity_homeownershipblack","equity_homeownershiphisp","equity_homeownershipwhite","equity_homeownershiptotal","qol_aqi","qol_homeownershiptotal","qol_popchange","qol_popwohealthins","qol_vcrimert","qol_vthourspc","qol_obese","qol_physicians","transit_hoursdelayedpc","transit_caralone","transit_novehicle","transit_statefunding","transit_bustrips","transit_bridgecondition"
1,1,"Albany-Schenectady-Amsterdam, NY","Northeast",42.6511674,-73.754968,2009,0.69,2.25,3.35,1.80,4.77,3.50,565676059.76,44034.67,0.0296,0.3134,47856.93,19952.03,0.0062,0.1409,0.0325,6.47,0.0095,229.00,0.0472,0.2545,2309.06,2740.71,0.1672,0.9439,475.80,173.55,133.19,239.77,207.34,388.28,0.0121,0.1311,0.31,0.0384,0.0915,0.1378,0.2411,0.4975,0.2275,74150.74,75884.39,4547.36,75408.67,0.2404,0.0956,0.0243,0.1867,0.4824,0.2966,0.4220,0.3583,0.2141,0.6935,0.0301,0.1201,51.84,19.06,0.0601,135.85,42,0.9147,0.0905,396.68,0.1993,0.0038
2,2,"Atlanta-Sandy Springs-Gainesville, GA-AL","Southeast",33.7490987,-84.3901849,2009,2.55,2.46,1.50,0.39,2.87,4.76,501749449.36,42667.75,0.4528,0.2535,27658.04,35754.15,0.0141,0.0526,0.0003,4.88,0.0756,343.81,0.0154,0.1788,4921.45,6383.37,0.1747,0.8785,249.89,224.12,433.00,132.58,264.21,105.91,0.0210,0.1700,0.47,0.0352,0.1077,0.1479,0.2414,0.4825,0.2181,48232.73,49215.97,5039.99,4394.56,0.2332,0.1555,0.0081,0.0846,0.8936,0.1902,0.9820,0.9089,0.6605,0.3887,0.0098,0.2053,127.04,24.42,0.0589,124.66,37,0.5608,0.0623,275.18,0.9717,0.1977
3,3,"Austin-Round Rock, TX","Southwest",30.2711286,-97.7436995,2009,3.48,2.75,0.11,4.02,3.97,0.86,558550790.60,5750.82,0.4043,0.3674,86196.96,22015.63,0.0348,0.1024,0.1525,0.16,0.0173,211.01,0.2302,0.0228,9621.58,4049.13,0.2395,0.9320,384.35,399.22,385.45,131.38,141.95,260.90,0.0202,0.2085,0.50,0.0264,0.0953,0.1603,0.2245,0.4907,0.2283,66751.45,27637.60,81471.28,79993.58,0.0533,0.0920,0.0880,0.2370,0.4193,0.9081,0.3998,0.7365,0.5578,0.2812,0.0204,0.2235,147.98,14.01,0.2985,185.14,72,0.6731,0.0037,412.54,0.1670,0.1590
4,4,"Birmingham-Hoover-Cullman, AL","Southeast",33.5206824,-86.8024326,2009,2.74,2.58,2.24,0.75,2.72,2.86,259681961.92,67346.61,0.2731,0.0300,86286.27,23482.53,0.0307,0.0714,0.1458,8.19,0.0490,388.70,0.1010,0.2848,12060.71,7262.37,0.0963,0.9898,357.75,162.29,145.19,381.81,161.98,31.23,0.0187,0.0379,0.43,0.0249,0.0999,0.1370,0.2484,0.5049,0.2270,31877.84,42365.21,51468.63,24588.58,0.0639,0.2491,0.0926,0.1068,0.4650,0.3278,0.9092,0.8660,0.1487,0.5249,0.0106,0.1861,535.67,47.12,0.2244,212.92,42,0.8979,0.0150,415.45,0.9088,0.2217
5,5,"Boston-Worcester-Manchester, MA-RI-NH","Northeast",42.3604823,-71.0595678,2009,2.68,2.67,4.18,0.54,2.43,2.25,509823435.17,57591.55,0.3555,0.3735,58010.19,59346.68,0.0054,0.2039,0.0987,1.50,0.0666,382.95,0.2172,0.0253,698.95,12956.34,0.0680,0.8670,442.60,83.44,461.00,478.35,63.44,443.43,0.0497,0.0294,0.11,0.0399,0.0887,0.1421,0.2334,0.5172,0.1818,68925.08,8112.02,35250.57,59694.58,0.1663,0.2442,0.0536,0.1827,0.7120,0.4252,0.0735,0.0355,0.3361,0.2466,0.0324,0.1890,488.97,12.71,0.4481,262.70,1,0.6576,0.0079,7.40,0.6404,0.2007
6,6,"Buffalo-Niagara-Cattaraugus, NY","Northeast",42.8864468,-78.8783689,2009,1.50,2.24,3.79,3.71,3.71,1.53,559888616.16,56964.37,0.2010,0.1025,15763.56,11567.49,0.0237,0.1979,0.1827,6.30,0.0503,151.21,0.1935,0.4155,3102.54,14393.42,0.1531,0.8842,216.51,188.52,27.66,223.28,372.03,24.51,0.0499,0.1698,0.20,0.0320,0.0929,0.1380,0.2381,0.4923,0.1860,18154.89,95090.00,46398.54,53447.25,0.1221,0.2202,0.1625,0.0359,0.2333,0.0757,0.2170,0.5133,0.0250,0.6499,0.0228,0.0857,147.09,0.47,0.3323,218.43,25,0.6292,0.0750,26.58,0.4940,0.0004
7,7,"Charlotte-Gastonia-Salisbury, NC-SC","Southeast",35.2270869,-80.8431268,2009,3.42,2.10,1.96,0.04,2.06,1.97,914742525.85,31763.49,0.0368,0.0339,93110.35,35340.52,0.0049,0.1543,0.1568,6.92,0.0164,165.17,0.0234,0.0449,7570.93,14592.51,0.1901,0.8859,190.75,248.20,92.92,191.95,359.32,81.26,0.0118,0.0950,0.17,0.0527,0.0911,0.1593,0.2554,0.4965,0.1987,49589.91,50933.78,99424.11,18235.37,0.1866,0.2154,0.2207,0.0349,0.7279,0.0665,0.0036,0.1050,0.7315,0.0067,0.0160,0.1831,647.94,7.28,0.2429,112.83,21,0.5110,0.0498,87.88,0.2192,0.3083
8,8,"Chicago-Naperville-Michigan City, IL-IN-WI","Midwest",41.8756208,-87.6243706,2009,4.79,4.13,2.18,3.63,2.97,4.77,213871895.52,86094.95,0.0912,0.2120,96029.25,44421.66,0.0332,0.2054,0.1622,9.64,0.0227,394.92,0.4578,0.1862,3851.22,2196.10,0.2152,0.9936,481.38,240.15,89.80,404.65,356.29,452.44,0.0048,0.2157,0.16,0.0433,0.0852,0.1365,0.2526,0.5068,0.2165,21481.32,30443.57,85207.07,59163.12,0.1398,0.0836,0.1548,0.0540,0.6964,0.0005,0.8993,0.4033,0.5760,0.9135,0.0029,0.0742,239.76,19.01,0.4441,116.51,10,0.6801,0.0891,237.26,0.8195,0.3499
9,9,"Cincinnati-Middletown-Wilmington, OH-KY-IN","Midwest",39.1014537,-84.5124602,2009,3.34,2.91,3.42,1.28,1.56,2.80,754237056.90,64830.30,0.4829,0.1120,16164.57,27885.26,0.0068,0.0956,0.1381,4.54,0.0588,369.94,0.4979,0.3503,9751.02,12181.74,0.1890,0.8176,389.63,104.63,116.58,229.94,363.81,111.46,0.0347,0.1124,0.32,0.0355,0.0894,0.1394,0.2579,0.5054,0.2136,72984.37,90705.67,86223.38,17900.50,0.1303,0.0314,0.1289,0.1753,0.5675,0.2532,0.1167,0.7808,0.8668,0.5751,0.0050,0.0720,545.69,8.68,0.3020,352.85,18,0.5103,0.0919,285.57,0.2452,0.0754
10,10,"Cleveland-Akron-Elyria, OH","Midwest",41.4871888,-81.6778691,2009,3.22,0.82,1.38,3.63,3.58,4.81,115276286.56,58443.19,0.3403,0.2142,59298.13,27498.52,0.0361,0.0393,0.0062,9.42,0.0612,87.56,0.4752,0.3485,3220.21,5567.80,0.2374,0.9288,200.44,49.13,63.04,456.08,55.12,313.86,0.0431,0.1538,0.27,0.0451,0.1112,0.1482,0.2490,0.5190,0.1961,86303.40,69223.99,26133.81,1842.23,0.0028,0.1710,0.2089,0.1424,0.8974,0.0053,0.3490,0.7227,0.1623,0.1459,0.0311,0.1640,534.84,19.65,0.3701,149.92,6,0.6699,0.0149,335.01,0.5920,0.1952
