id,geoid,metro,region,lat,lon,year,oned_index,economy_index,education_index,equity_index,quality_of_life_index,transit_index
1,1,"Albany-Schenectady-Amsterdam, NY",Northeast,42.65116740,-73.75496800,2009,2.46,1.43,3.22,2.88,2.64,2.15
2,2,"Atlanta-Sandy Springs-Gainesville, GA-AL",Southeast,33.74909870,-84.39018490,2009,2.15,1.51,2.51,2.78,2.56,1.42
3,3,"Austin-Round Rock-Marble Falls, TX",Southwest,30.27112860,-97.74369950,2009,2.52,2.15,2.65,2.69,3.47,1.62
4,4,"Birmingham-Hoover-Cullman, AL",Southeast,33.52068240,-86.80243260,2009,1.76,1.31,1.84,1.95,2.14,1.57
5,5,"Boston-Worcester-Manchester, MA-RI-NH",Northeast,42.36048230,-71.05956780,2009,2.58,2.16,3.47,2.14,3.2,1.91
6,6,"Buffalo-Niagara-Cattaraugus, NY",Northeast,42.88644680,-78.87836890,2009,2.15,1.13,3.12,1.82,2.56,2.09
7,7,"Charlotte-Gastonia-Salisbury, NC-SC",Southeast,35.22708690,-80.84312680,2009,2.19,1.63,2.51,2.31,2.93,1.58
8,8,"Chicago-Naperville-Michigan City, IL-IN-WI",Midwest,41.87562080,-87.62437060,2009,1.94,1.7,2.79,2.45,0.97,1.8
9,9,"Cincinnati-Middletown-Wilmington, OH-KY-IN",Midwest,39.10145370,-84.51246020,2009,2,1.31,2.19,2.37,2.43,1.71
10,10,"Cleveland-Akron-Elyria, OH",Midwest,41.48718880,-81.67786910,2009,1.79,1.11,2.02,1.94,2.13,1.76
11,11,"Columbus-Marion-Chillicothe, OH",Midwest,39.96226010,-83.00070650,2009,2.2,1.17,2.53,2.38,3.26,1.66
12,12,"Dallas-Fort Worth, TX",Southeast,32.78010520,-96.80000820,2009,2.24,1.96,2.27,2.43,3.03,1.49
13,13,"Dayton-Springfield-Greenville, OH",Midwest,39.75894780,-84.19160690,2009,1.83,0.85,1.83,2.47,2.15,1.83
14,14,"Denver-Aurora-Boulder, CO",West,39.73915360,-104.98470340,2009,2.34,1.84,2.01,2.54,3.58,1.72
15,15,"Detroit-Warren-Flint, MI",Midwest,42.34866350,-83.05673750,2009,1.68,1.18,1.92,2.3,1.39,1.6
16,16,"Fresno-Madera, CA",Southwest,36.72944550,-119.70886061,2009,1.58,0.74,1.53,2.02,1.47,2.16
17,17,"Grand Rapids-Muskegon-Holland, MI",Midwest,42.96335990,-85.66808630,2009,2.05,0.83,2.33,2.69,2.46,1.93
18,18,"Greensboro-Winston-Salem-High Point, NC",Southeast,36.07263550,-79.79197540,2009,1.79,1.03,1.85,1.98,2.22,1.84
19,19,"Greenville-Spartanburg-Anderson, SC",Southeast,34.85123160,-82.39851050,2009,1.62,1.28,1.74,2.01,1.79,1.26
20,20,"Hartford-West Hartford-Willimantic, CT",Northeast,41.76559900,-72.69058501,2009,2.7,1.9,3.38,2.8,3.56,1.84
21,21,"Houston-Baytown-Huntsville, TX",Southeast,29.95192650,-95.54091698,2009,2.22,2.86,2.23,2.1,2.53,1.39
