id,geoid,metro,region,lat,lon,year,oned_index,economy_index,education_index,equity_index,quality_of_life_index,transit_index,econ_exports,econ_gmp,econ_hightech,econ_kiemploy,econ_pcpi,econ_techpatents,econ_biztaxindex,edu_pctbachhigher2534,edu_pctbachhigher,edu_enrolled,edu_hsdiploma,edu_unemployednohs,edu_ppstatebudget,edu_ppspending,qol_aqi,qol_popchange,qol_popwohealthins,qol_vcrimert,qol_vthourspc,qol_obese,equity_fbpop,equity_gini,equity_incshareq1,equity_incshareq2,equity_incshareq3,equity_incshareq4,equity_incshareq5,equity_incsharetop5,equity_medhhincblack,equity_medhhinchisp,equity_medhhincwhite,equity_medhhinctotal,equity_childpovrtblack,equity_childpovrthisp,equity_childpovrtwhite,equity_childpovrttotal,equity_homeownershipblack,equity_homeownershiphisp,equity_homeownershipwhite,equity_homeownershiptotal,transit_hoursdelayedpc,transit_caralone,transit_novehicle,transit_bustrips,transit_statefunding
1,1,"Albany-Schenectady-Amsterdam, NY",Northeast,42.65116740,-73.75496800,2009,2.46,1.43,3.22,2.88,2.64,2.15,3205083301.0,48834,0.1892,0.0496,41576.61,6.48,4.13,0.3987,0.3243,0.1838,0.9017,0.0116,8853.00,18764.00,0.7507,0,0,309.90,0,0,0.0654,0.429,0.038,0.097,0.159,0.241,0.465,0.19,34407,36941,64383,61497,0.321,0.3573,0.0781,0.1288,0.319,0.3943,0.7081,0.6708,33,0.8812,0.0442,15194.28,227.58
2,2,"Atlanta-Sandy Springs-Gainesville, GA-AL",Southeast,33.74909870,-84.39018490,2009,2.15,1.51,2.51,2.78,2.56,1.42,13405896061.0,52065,0.0816,0.0613,40140.99,2.28,5.16,0.3534,0.3424,0.2249,0.8596,0.017,7471.00,9602.00,0.3507,0.0137,0,439.70,0.27,0.36,0.1283,0.455,0.036,0.093,0.149,0.227,0.494,0.218,46369,42877,74045,61989,0.2469,0.3265,0.0694,0.1676,0.5358,0.453,0.7886,0.6846,52,0.8792,0.0328,83509.69,0.55
3,3,"Austin-Round Rock-Marble Falls, TX",Southwest,30.27112860,-97.74369950,2009,2.52,2.15,2.65,2.69,3.47,1.62,5963713817.0,48589,0.1414,0.1196,40214.56,12.94,6.02,0.3917,0.3843,0.1987,0.8607,0.0086,7004.00,8722.00,0.7151,0.0297,0,356.10,0.196,0.388,0.1449,0.451,0.036,0.093,0.151,0.231,0.489,0.213,40671,46275,72153,61769,0.2748,0.2903,0.0555,0.1702,0.4172,0.4769,0.6584,0.593,44,0.8689,0.025,38417.49,1.16
4,4,"Birmingham-Hoover-Cullman, AL",Southeast,33.52068240,-86.80243260,2009,1.76,1.31,1.84,1.95,2.14,1.57,1449892790.0,45570,0.1807,0.0307,40247.90,0.66,5.30,0.3015,0.2633,0.1985,0.8435,0.0109,5709.00,8666.00,0.3534,0.0073,0,534.60,0.282,0.314,0.037,0.475,0.034,0.086,0.144,0.226,0.51,0.234,33894,46641,59006,50519,0.3373,0.2639,0.0931,0.1822,0.5319,0.4114,0.7992,0.7131,36,0.9477,0.0197,2805.11,0.00
5,5,"Boston-Worcester-Manchester, MA-RI-NH",Northeast,42.36048230,-71.05956780,2009,2.58,2.16,3.47,2.14,3.2,1.91,18972622895.0,69662,0.005,-0.0035,57426.47,6.96,4.99,0.5403,0.4215,0.1866,0.8988,0.0086,7463.00,14781.00,0.6164,0.0098,0,400.20,0.26,0.446,0.1591,0.469,0.03,0.088,0.151,0.231,0.5,0.224,45121,40361,80759,75363,0.2462,0.3048,0.0561,0.1077,0.3488,0.2778,0.698,0.6384,54,0.7698,0.0661,108168.86,196.60
6,6,"Buffalo-Niagara-Cattaraugus, NY",Northeast,42.88644680,-78.87836890,2009,2.15,1.13,3.12,1.82,2.56,2.09,3561761172.0,40990,0.2213,0.0517,39432.73,1.81,4.13,0.3659,0.2746,0.1869,0.883,0.0079,8853.00,18764.00,0.6247,-0.0009,0,514.60,0.297,0.368,0.0538,0.457,0.033,0.088,0.151,0.237,0.489,0.208,26123,24118,54560,49860,0.4637,0.4453,0.1166,0.2006,0.3447,0.3334,0.7324,0.6713,33,0.8978,0.0479,21399.20,227.58
7,7,"Charlotte-Gastonia-Salisbury, NC-SC",Southeast,35.22708690,-80.84312680,2009,2.19,1.63,2.51,2.31,2.93,1.58,4133440705.0,51145,0.2676,0.174,38301.51,1.24,4.74,0.3841,0.3252,0.2171,0.8574,0.0162,8260.00,8632.00,0.537,0.0205,0,528.20,0.266,0.366,0.0945,0.466,0.036,0.09,0.145,0.224,0.505,0.23,40891,40314,66314,57028,0.2672,0.3238,0.0789,0.1644,0.4792,0.4196,0.7661,0.6731,41,0.9071,0.0249,21539.45,7.77
8,8,"Chicago-Naperville-Michigan City, IL-IN-WI",Midwest,41.87562080,-87.62437060,2009,1.94,1.7,2.79,2.45,0.97,1.8,28196644216.0,55029,0.0436,-0.011,46193.72,2.43,5.26,0.3904,0.3326,0.2151,0.8538,0.0114,7591.00,11880.00,0.1808,0.0048,0,0,0,0.358,0.1729,0.468,0.033,0.089,0.148,0.227,0.503,0.229,38214,50794,75574,64338,0.3761,0.2325,0.0565,0.1701,0.4298,0.563,0.773,0.6769,53,0.796,0.0568,349272.30,44.43
9,9,"Cincinnati-Middletown-Wilmington, OH-KY-IN",Midwest,39.10145370,-84.51246020,2009,2,1.31,2.19,2.37,2.43,1.71,15488673599.0,47743,0.1038,0.0582,41071.48,2.95,4.12,0.3319,0.2829,0.2058,0.8677,0.0106,5092.00,11132.00,0.4,0.006,0,341.80,0.288,0.333,0.0366,0.450,0.035,0.092,0.153,0.234,0.485,0.208,30247,51079,60837,56667,0.4193,0.3243,0.1096,0.1645,0.3479,0.4737,0.7435,0.6887,33,0.9077,0.0296,26644.34,1.27
10,10,"Cleveland-Akron-Elyria, OH",Midwest,41.48718880,-81.67786910,2009,1.79,1.11,2.02,1.94,2.13,1.76,8012639472.0,50472,0.0557,-0.0018,41638.00,2.45,4.12,0.3221,0.2671,0.2016,0.8678,0.0125,5092.00,11132.00,0.3753,-0.0019,0,428.70,0.285,0.34,0.0554,0.465,0.032,0.088,0.15,0.233,0.497,0.218,29140,34676,58570,51003,0.4577,0.3521,0.0984,0.2036,0.3957,0.4692,0.7584,0.6725,31,0.8954,0.0366,38776.67,1.27
