"OBJECTID","FIPS","FIPS_1","EDU1","EDU1_Z","EDU2","EDU2_Z","EDU3","EDU3_Z","EDU4","EDU4_Z","EDU5","EDU5_Z","EDU6","EDU5_Z1","EDU6_Z","EDU7","EDU7_Z","EDU_COMP","EDU_RANK","EE1","EE1_Z","EE2","EE2_Z","EE3","EE3_Z","EE4","EE4_Z","EE_COMP","EE_RANK","N1","N1_Z","N2","N2_Z","N3","N3_Z","N4","N4_Z","N5","N5_Z","N6","N6_Z","N_COMP","N_RANK","COMP","COMP_RANK","COMP_OPP"
1,26163500200,26163500200,48.025712,-1.06829,5.263158,0.060386,28.421053,-1.25144,54.380841,-0.103112,40.392939,-1.306751,13.108205,-1.306751,-1.157984,80.048737,-1.216529,-0.863389,1,8.079848,-0.814658,33889,-0.740516,18.434783,-0.262407,-22.841963,-0.305593,-0.530794,2,13.344316,-0.011886,85000,-0.703486,70.057034,-0.025308,32.1047,-0.897539,-4.774987,-0.029087,10.315375,-0.07373,-0.290173,2,-0.561452,2,"Low"
2,26163500700,26163500700,34.534535,-0.474997,5.225653,0.064295,17.814727,-0.399778,52.767216,-0.198161,40.392939,-1.306751,13.108205,-1.306751,-1.157984,80.048737,-1.216529,-0.669986,2,7.600281,-0.710135,30638,-0.860758,26.588465,-1.05422,-24.220764,-0.423346,-0.762115,1,21.923077,-0.751993,85800,-0.693838,56.439127,-0.658006,27.5932,-0.614055,-7.882468,-0.031042,7.185491,0.009113,-0.456637,2,-0.629579,2,"Low"
3,26163501200,26163501200,65.688073,-1.84501,26.451613,-2.14804,47.741935,-2.80287,40,-0.950203,40.392939,-1.306751,13.108205,-1.306751,-1.157984,80.048737,-1.216529,-1.632484,1,11.522048,-1.5649,27324,-0.98333,21.441774,-0.554419,-24.786437,-0.471656,-0.893576,1,30.670611,-1.50666,56800,-1.04357,51.493599,-0.887779,41.8111,-1.50745,-35.211083,-0.04823,14.087591,-0.173574,-0.86121,1,-1.12909,1,"Very Low"
4,26163503100,26163503100,24.484182,-0.033022,0,0.608952,31.531532,-1.50121,44.585987,-0.680069,40.392939,-1.306751,13.108205,-1.306751,-1.157984,80.048737,-1.216529,-0.75523,1,11.346766,-1.52669,45632,-0.306188,28.549962,-1.2447,-22.841963,-0.305593,-0.845793,1,15.426009,-0.191478,73000,-0.848205,83.88123,0.616975,25.9713,-0.512142,-8.938912,-0.031706,12.94628,-0.143365,-0.184987,2,-0.595337,2,"Low"
5,26163503400,26163503400,31.470588,-0.340257,2.134146,0.386515,32.621951,-1.58877,28.009535,-1.65649,40.392939,-1.306751,13.108205,-1.306751,-1.157984,80.048737,-1.216529,-0.982895,1,4.255319,0.018912,40859,-0.482723,29.228856,-1.31063,-22.213872,-0.251953,-0.506598,2,30.059524,-1.45394,61800,-0.983275,72.340426,0.08078,16.8733,0.059539,-45.039458,-0.054412,17.668207,-0.268346,-0.436609,2,-0.642034,2,"Low"
6,26163504200,26163504200,64.969136,-1.81339,16.176471,-1.07708,13.970588,-0.091102,32.68206,-1.38126,40.392939,-1.306751,13.108205,-1.306751,-1.157984,80.048737,-1.216529,-1.149156,1,12.571429,-1.79361,23663,-1.11874,22.222222,-0.630209,-24.577136,-0.453781,-0.999085,1,39.446367,-2.26376,69400,-0.89162,56.142857,-0.671771,48.194,-1.90852,-41.871814,-0.052419,16.142638,-0.227967,-1.002676,1,-1.050306,1,"Very Low"
7,26163504900,26163504900,39.565217,-0.696227,7.191781,-0.14063,19.178082,-0.509253,43.984134,-0.715521,40.392939,-1.306751,13.108205,-1.306751,-1.157984,80.048737,-1.216529,-0.820414,1,7.424242,-0.671766,34912,-0.702679,26.137092,-1.01039,-24.608973,-0.4565,-0.710334,1,10.142954,0.264302,73800,-0.838557,69.924242,-0.031477,29.4806,-0.732651,-15.07811,-0.035567,9.729032,-0.05821,-0.238694,2,-0.589814,2,"Low"
8,26163506100,26163506100,38.074398,-0.630667,0,0.608952,22.981366,-0.814649,42.161636,-0.822874,40.392939,-1.306751,13.108205,-1.306751,-1.157984,80.048737,-1.216529,-0.762929,1,11.889251,-1.64493,25357,-1.05608,40,-2.35663,-26.366637,-0.606608,-1.416062,1,28.852839,-1.34984,70900,-0.87353,79.478827,0.412436,28.7343,-0.685757,-19.832496,-0.038558,15.191606,-0.202795,-0.456341,2,-0.878444,1,"Very Low"
9,26163506400,26163506400,87.878788,-2.82087,28.881988,-2.40135,9.31677,0.28259,29.558205,-1.56527,40.392939,-1.306751,13.108205,-1.306751,-1.157984,80.048737,-1.216529,-1.455166,1,8.128544,-0.825271,26771,-1.00378,18.956044,-0.313027,-24.577673,-0.453827,-0.648976,1,23.994253,-0.930677,48700,-1.14126,56.332703,-0.662951,58.874,-2.57961,-26.618398,-0.042826,7.126168,0.010683,-0.891107,1,-0.998416,1,"Very Low"
10,26163507000,26163507000,70.514166,-2.05724,0,0.608952,22.807018,-0.800649,45.273312,-0.639583,40.392939,-1.306751,13.108205,-1.306751,-1.157984,80.048737,-1.216529,-0.938541,1,15.096251,-2.34391,23934,-1.10871,41.038198,-2.45745,-23.092891,-0.327023,-1.559273,1,26.943005,-1.18507,68500,-0.902474,59.675785,-0.507629,49.7812,-2.00826,-10.960403,-0.032978,11.157311,-0.096014,-0.788737,1,-1.095517,1,"Very Low"
11,26163507500,26163507500,54.230377,-1.34114,0,0.608952,18.80597,-0.479373,32.774194,-1.37583,40.392939,-1.306751,13.108205,-1.306751,-1.157984,80.048737,-1.216529,-0.895522,1,10.48218,-1.33826,22134,-1.17529,30.230769,-1.40793,-26.078417,-0.581994,-1.125868,1,25.526932,-1.0629,54200,-1.07493,49.685535,-0.971783,42.7603,-1.56709,-22.053848,-0.039955,11.579675,-0.107194,-0.803975,1,-0.941789,1,"Very Low"
12,26163510500,26163510500,86.070158,-2.74133,3.225806,0.272734,8.387097,0.357241,28.221709,-1.64399,40.392939,-1.306751,13.108205,-1.306751,-1.157984,80.048737,-1.216529,-1.062373,1,11.770524,-1.61905,17467,-1.3479,27.171109,-1.1108,-24.752841,-0.468787,-1.136634,1,36.930755,-2.04673,32500,-1.33663,49.950544,-0.959471,70.9528,-3.33859,-17.136136,-0.036862,8.275091,-0.019727,-1.289668,1,-1.162892,1,"Very Low"
13,26163511300,26163511300,67.902542,-1.94239,8.189655,-0.244636,24.137931,-0.907518,32.372654,-1.39949,40.392939,-1.306751,13.108205,-1.306751,-1.157984,80.048737,-1.216529,-1.1679,1,12.686567,-1.81871,23148,-1.13778,31.238616,-1.5058,-25.160676,-0.503617,-1.241477,1,40.044743,-2.31538,41800,-1.22447,53.358209,-0.801148,55.0602,-2.33997,-44.946107,-0.054353,23.525702,-0.423384,-1.193117,1,-1.200831,1,"Very Low"
14,26163512300,26163512300,75.708502,-2.28567,19.512195,-1.42476,0,1.030708,27.366448,-1.69437,40.392939,-1.306751,13.108205,-1.306751,-1.157984,80.048737,-1.216529,-1.150765,1,15.738162,-2.48382,14605,-1.45376,34.71223,-1.84313,-45.269666,-2.22097,-2.00042,1,22.62931,-0.812921,29400,-1.37401,24.512535,-2.14134,57.8826,-2.51731,-15.451371,-0.035802,22.936288,-0.407783,-1.214861,1,-1.455349,1,"Very Low"
15,26163513200,26163513200,41.118421,-0.764531,9.863946,-0.419143,17.006803,-0.334904,36.99187,-1.12739,40.392939,-1.306751,13.108205,-1.306751,-1.157984,80.048737,-1.216529,-0.90389,1,4.497354,-0.03384,24847,-1.07495,33.077905,-1.68441,-26.635002,-0.629527,-0.855682,1,27.097396,-1.19839,51200,-1.11111,42.460317,-1.30747,29.0398,-0.704953,-33.857583,-0.047379,13.922294,-0.169199,-0.756417,1,-0.838663,1,"Very Low"
16,26163514100,26163514100,79.643232,-2.4587,8.444444,-0.271192,26.666667,-1.11057,34.339623,-1.28362,40.392939,-1.306751,13.108205,-1.306751,-1.157984,80.048737,-1.216529,-1.257907,1,17.319964,-2.82857,17111,-1.36107,41.696535,-2.52138,-24.804536,-0.473201,-1.796055,1,39.989059,-2.31058,51100,-1.11232,58.887876,-0.544235,56.6558,-2.44023,-32.303382,-0.046401,8.551136,-0.027033,-1.080133,1,-1.378032,1,"Very Low"
17,26163515300,26163515300,48.009368,-1.06757,28.947368,-2.40816,55.263158,-3.40681,44.269142,-0.698733,40.392939,-1.306751,13.108205,-1.306751,-1.157984,80.048737,-1.216529,-1.608934,1,6.30892,-0.428677,20805,-1.22444,25.641026,-0.962212,-25.226811,-0.509265,-0.781148,1,24.891068,-1.00805,63700,-0.960361,17.113851,-2.48509,33.93,-1.01223,-3.89387,-0.028533,10.323822,-0.073953,-0.928036,1,-1.106039,1,"Very Low"
18,26163516000,26163516000,29.704142,-0.262575,25.984252,-2.09932,41.732283,-2.32031,42.818281,-0.784195,40.392939,-1.306751,13.108205,-1.306751,-1.157984,80.048737,-1.216529,-1.306809,1,10.891089,-1.42738,30139,-0.879214,51.059002,-3.43058,-25.894048,-0.566248,-1.575856,1,33.727034,-1.77034,56500,-1.04719,70.693069,0.004243,35.0535,-1.08283,-34.159078,-0.047568,25.986842,-0.488526,-0.738702,1,-1.207122,1,"Very Low"
19,26163516400,26163516400,38.306452,-0.640871,51.807229,-4.79079,0,1.030708,48.175182,-0.468651,40.392939,-1.306751,13.108205,-1.306751,-1.157984,80.048737,-1.216529,-1.221553,1,6.666667,-0.50665,33621,-0.750428,26.39821,-1.03574,-25.419408,-0.525713,-0.704633,1,35.483871,-1.92191,62100,-0.979657,43.095238,-1.27797,38.3302,-1.28872,-36.880872,-0.04928,28.543307,-0.556191,-1.012288,1,-0.979491,1,"Very Low"
