OBJECTID,FIPS,NAMELSAD10,Childhood Poverty,High School Dropout Rate,"Persons 16-19 No HS Diploma, Unemployed",High school Completion,"Reading, School proficiency rates of three nearest in-district primary schools","Math, School proficiency rates of three nearest in-district primary schools",Percent of students receiving free or reduced price lunches,Percent of households receiving a form of public assistance,Median Household Income,Unemployment Rate,Change in jobs within a 5 mile radius,Vacant Property,Property Values,Homeownership rates,Poverty Rates,Percent change in population from 2000-2010.,Kirwan Opportunity Index,Kirwan Opportunity Index Ordinal Categories
1,26163500200,Census Tract 5002,48.025712,5.263158,28.421053,54.380841,40.392939,13.108205,80.048737,8.079848,33889,18.434783,-22.841963,13.344316,85000,70.057034,32.1047,-4.774987,-0.561452,Low
2,26163500700,Census Tract 5007,34.534535,5.225653,17.814727,52.767216,40.392939,13.108205,80.048737,7.600281,30638,26.588465,-24.220764,21.923077,85800,56.439127,27.5932,-7.882468,-0.629579,Low
3,26163501200,Census Tract 5012,65.688073,26.451613,47.741935,40,40.392939,13.108205,80.048737,11.522048,27324,21.441774,-24.786437,30.670611,56800,51.493599,41.8111,-35.211083,-1.12909,Very Low
4,26163503100,Census Tract 5031,24.484182,0,31.531532,44.585987,40.392939,13.108205,80.048737,11.346766,45632,28.549962,-22.841963,15.426009,73000,83.88123,25.9713,-8.938912,-0.595337,Low
5,26163503400,Census Tract 5034,31.470588,2.134146,32.621951,28.009535,40.392939,13.108205,80.048737,4.255319,40859,29.228856,-22.213872,30.059524,61800,72.340426,16.8733,-45.039458,-0.642034,Low
6,26163504200,Census Tract 5042,64.969136,16.176471,13.970588,32.68206,40.392939,13.108205,80.048737,12.571429,23663,22.222222,-24.577136,39.446367,69400,56.142857,48.194,-41.871814,-1.050306,Very Low
7,26163504900,Census Tract 5049,39.565217,7.191781,19.178082,43.984134,40.392939,13.108205,80.048737,7.424242,34912,26.137092,-24.608973,10.142954,73800,69.924242,29.4806,-15.07811,-0.589814,Low
8,26163506100,Census Tract 5061,38.074398,0,22.981366,42.161636,40.392939,13.108205,80.048737,11.889251,25357,40,-26.366637,28.852839,70900,79.478827,28.7343,-19.832496,-0.878444,Very Low
9,26163506400,Census Tract 5064,87.878788,28.881988,9.31677,29.558205,40.392939,13.108205,80.048737,8.128544,26771,18.956044,-24.577673,23.994253,48700,56.332703,58.874,-26.618398,-0.998416,Very Low
10,26163507000,Census Tract 5070,70.514166,0,22.807018,45.273312,40.392939,13.108205,80.048737,15.096251,23934,41.038198,-23.092891,26.943005,68500,59.675785,49.7812,-10.960403,-1.095517,Very Low
11,26163507500,Census Tract 5075,54.230377,0,18.80597,32.774194,40.392939,13.108205,80.048737,10.48218,22134,30.230769,-26.078417,25.526932,54200,49.685535,42.7603,-22.053848,-0.941789,Very Low
